,SNE,AAPL
2018-11-02,53.66,207.48
2018-11-05,53.32,201.59
2018-11-06,53.5,203.77
2018-11-07,55.26,209.95
2018-11-08,54.41,208.49
2018-11-09,54.07,204.47
2018-11-12,51.53,194.17
2018-11-13,51.24,192.23
2018-11-14,51.14,186.8
2018-11-15,51.65,191.41
2018-11-16,50.81,193.53
2018-11-19,50.99,185.86
2018-11-20,49.53,176.98
2018-11-21,50.52,176.78
2018-11-23,49.69,172.29
2018-11-26,51.02,174.62
2018-11-27,51.37,174.24
2018-11-28,52.91,180.94
2018-11-29,51.88,179.55
2018-11-30,52.82,178.58
2018-12-03,54.17,184.82
2018-12-04,51.51,176.69
2018-12-06,51.86,174.72
2018-12-07,51.13,168.49
2018-12-10,51.11,169.6
2018-12-11,51.15,168.63
2018-12-12,52.62,169.1
2018-12-13,52.2,170.95
2018-12-14,51.29,165.48
2018-12-17,50.5,163.94
2018-12-18,49.39,166.07
2018-12-19,48.76,160.89
2018-12-20,48.27,156.83
2018-12-21,46.73,150.73
2018-12-24,45.88,146.83
2018-12-26,47.62,157.17
2018-12-27,48.53,156.15
2018-12-28,48.14,156.23
2018-12-31,48.28,157.74
2019-01-02,48.72,157.92
2019-01-03,47.02,142.19
2019-01-04,49.21,148.26
2019-01-07,49.72,147.93
2019-01-08,49.89,150.75
2019-01-09,49.93,153.31
2019-01-10,49.1,153.8
2019-01-11,48.98,152.29
2019-01-14,48.42,150.0
2019-01-15,49.84,153.07
2019-01-16,49.61,154.94
2019-01-17,49.51,155.86
2019-01-18,50.18,156.82
2019-01-22,48.47,153.3
2019-01-23,48.46,153.92
2019-01-24,48.37,152.7
2019-01-25,48.76,157.76
2019-01-28,48.83,156.3
2019-01-29,48.78,154.68
2019-01-30,49.2,165.25
2019-01-31,50.12,166.44
2019-02-01,46.15,166.52
2019-02-04,46.29,171.25
2019-02-05,45.86,174.18
2019-02-06,44.22,174.24
2019-02-07,43.06,170.94
2019-02-08,44.29,170.41
2019-02-11,44.59,169.43
2019-02-12,44.28,170.89
2019-02-13,45.06,170.18
2019-02-14,45.12,170.8
2019-02-15,45.79,170.42
2019-02-19,46.22,170.93
2019-02-20,46.88,172.03
2019-02-21,47.64,171.06
2019-02-22,47.89,172.97
2019-02-25,48.46,174.23
2019-02-26,48.19,174.33
2019-02-27,48.43,174.87
2019-02-28,47.99,173.15
2019-03-01,47.89,174.97
2019-03-04,47.62,175.85
2019-03-05,47.66,175.53
2019-03-06,47.53,174.52
2019-03-07,46.4,172.5
2019-03-08,45.95,172.91
2019-03-11,46.1,178.9
2019-03-12,46.31,180.91
2019-03-13,46.66,181.71
2019-03-14,46.12,183.73
2019-03-15,46.25,186.12
2019-03-18,46.08,188.02
2019-03-19,45.53,186.53
2019-03-20,43.28,188.16
2019-03-21,44.01,195.09
2019-03-22,42.03,191.05
2019-03-25,42.15,188.74
2019-03-26,42.73,186.79
2019-03-27,42.79,188.47
2019-03-28,42.4,188.72
2019-03-29,42.24,189.95
2019-04-01,42.98,191.24
2019-04-02,42.17,194.02
2019-04-03,42.39,195.35
2019-04-04,42.52,195.69
2019-04-05,43.07,197.0
2019-04-08,46.6,200.1
2019-04-09,46.19,199.5
2019-04-10,46.08,200.62
2019-04-11,46.25,198.95
2019-04-12,46.99,198.87
2019-04-15,47.31,199.23
2019-04-16,47.95,199.25
2019-04-17,47.74,203.13
2019-04-18,47.86,203.86
2019-04-22,47.61,204.53
2019-04-23,48.3,207.48
2019-04-24,46.46,207.16
2019-04-25,46.66,205.28
2019-04-26,50.24,204.3
2019-04-29,50.25,204.61
2019-04-30,50.37,200.67
2019-05-01,51.36,210.52
2019-05-02,51.46,209.15
2019-05-03,52.25,211.75
2019-05-06,51.22,208.48
2019-05-07,48.89,202.86
2019-05-08,48.75,202.9
2019-05-09,48.75,200.72
2019-05-10,49.7,197.18
2019-05-13,48.03,185.72
2019-05-14,48.44,188.66
2019-05-15,49.94,190.92
2019-05-16,52.0,190.08
2019-05-17,52.61,189.0
2019-05-20,52.2,183.09
2019-05-21,51.03,186.6
2019-05-22,50.49,182.78
2019-05-23,48.34,179.66
2019-05-24,48.98,178.97
2019-05-28,49.17,178.23
2019-05-29,48.23,177.38
2019-05-30,48.53,178.3
2019-05-31,48.0,175.07
2019-06-03,47.78,173.3
2019-06-04,48.13,179.64
2019-06-05,48.11,182.54
2019-06-06,47.45,185.22
2019-06-07,48.86,190.15
2019-06-10,49.62,192.58
2019-06-11,49.82,194.81
2019-06-12,49.38,194.19
2019-06-13,49.67,194.15
2019-06-14,51.33,192.74
2019-06-17,52.1,193.89
2019-06-18,52.21,198.45
2019-06-19,52.98,197.87
2019-06-20,53.94,199.46
2019-06-21,53.24,198.78
2019-06-24,53.15,198.58
2019-06-25,52.55,195.57
2019-06-26,52.46,199.8
2019-06-27,52.7,199.74
2019-06-28,52.39,197.92
2019-07-01,53.71,201.55
2019-07-02,53.68,202.73
2019-07-03,54.72,204.41
2019-07-05,55.03,204.23
2019-07-08,54.66,200.02
2019-07-09,54.38,201.24
2019-07-10,54.78,203.23
2019-07-11,55.02,201.75
2019-07-12,55.77,203.3
2019-07-15,55.77,205.21
2019-07-16,53.99,204.5
2019-07-17,54.37,203.35
2019-07-18,53.95,205.66
2019-07-19,53.66,202.59
2019-07-22,53.8,207.22
2019-07-23,54.41,208.84
2019-07-24,55.1,208.67
2019-07-25,54.55,207.02
2019-07-26,54.8,207.74
2019-07-29,54.7,209.68
2019-07-30,57.1,208.78
2019-07-31,56.86,213.04
2019-08-01,55.85,208.43
2019-08-02,54.98,204.02
2019-08-05,53.65,193.34
2019-08-06,55.0,197.0
2019-08-07,55.53,199.04
2019-08-08,56.25,203.43
2019-08-09,56.11,200.99
2019-08-12,55.6,200.48
2019-08-13,56.26,208.97
2019-08-14,54.32,202.75
2019-08-15,55.02,201.74
2019-08-16,55.73,206.5
2019-08-19,55.72,210.35
2019-08-20,55.66,210.36
2019-08-21,56.65,212.64
2019-08-22,54.77,212.46
2019-08-23,53.84,202.64
2019-08-26,55.52,206.49
2019-08-27,55.51,204.16
2019-08-28,55.61,205.53
2019-08-29,56.72,209.01
2019-08-30,56.91,208.74
2019-09-03,57.43,205.7
2019-09-04,58.51,209.19
2019-09-05,59.54,213.28
2019-09-06,59.2,213.26
2019-09-09,59.98,214.17
2019-09-10,59.24,216.7
2019-09-11,60.05,223.59
2019-09-12,60.25,223.085
2019-09-13,60.36,218.75
2019-09-16,59.97,219.9
2019-09-17,59.94,220.7
2019-09-18,59.11,222.77
2019-09-19,59.35,220.96
2019-09-20,59.12,217.73
2019-09-23,59.12,218.72
2019-09-24,58.91,217.68
2019-09-25,60.58,221.03
2019-09-26,59.41,219.89
2019-09-27,58.77,218.82
2019-09-30,59.13,223.97
2019-10-01,57.96,224.59
2019-10-02,56.83,218.96
2019-10-03,57.93,220.82
2019-10-04,58.75,227.01
2019-10-07,58.07,227.06
2019-10-08,57.21,224.4
2019-10-09,57.87,227.03
2019-10-10,57.33,230.09
2019-10-11,58.14,236.21
2019-10-14,57.84,235.87
2019-10-15,58.5,235.32
2019-10-16,58.92,234.37
2019-10-17,60.04,235.28
2019-10-18,59.21,236.41
2019-10-21,59.18,240.51
2019-10-22,58.97,239.96
2019-10-23,58.58,243.18
2019-10-24,58.63,243.58
2019-10-25,58.51,246.58
2019-10-28,59.06,249.05
2019-10-29,59.24,243.29
2019-10-30,61.07,243.26
2019-10-31,60.83,248.76
2019-11-01,61.44,255.82
2019-11-04,61.57,257.5
2019-11-05,61.44,257.13
2019-11-06,60.73,257.24
2019-11-07,60.4,259.43
2019-11-08,60.41,260.14
2019-11-11,61.72,262.2
2019-11-12,62.13,261.96
2019-11-13,62.29,264.47
2019-11-14,61.85,262.64
2019-11-15,62.06,265.76
2019-11-18,62.44,267.1
2019-11-19,61.9,266.29
2019-11-20,61.48,263.19
2019-11-21,61.52,262.01
2019-11-22,61.2,261.78
2019-11-25,61.8,266.37
2019-11-26,63.15,264.29
2019-11-27,63.72,267.84
2019-11-29,63.48,267.25
2019-12-02,63.28,264.16
2019-12-03,64.59,259.45
2019-12-04,65.29,261.74
2019-12-05,65.2,265.58
2019-12-06,65.29,270.71
2019-12-09,65.93,266.92
2019-12-10,66.31,268.48
2019-12-11,66.54,270.77
2019-12-12,67.32,271.46
2019-12-13,67.57,275.15
2019-12-16,68.25,279.86
2019-12-17,67.74,280.41
2019-12-18,67.7,279.74
2019-12-19,67.88,280.02
2019-12-20,67.9,279.44
2019-12-23,68.08,284.0
2019-12-24,67.76,284.27
2019-12-26,68.02,289.91
2019-12-27,67.78,289.8
2019-12-30,67.72,291.52
2019-12-31,68.0,293.65
